Номер	Год	Цена	Топливо	Объем	Мощность	Коробка	Привод	Цвет	Пробег	Руль	Поколение
1	2006	680000	бензин	2.0	140	АКПП	4WD	серый	352447	левый	1 поколение, рестайлинг
2	2011	1077000	бензин	2.5	169	вариатор	4WD	серый	164000	левый	2 поколение
3	2017	1400000	бензин	2.0	144	вариатор	4WD	черный	200000	левый	3 поколение
4	2001	365000	бензин	2.0	150	механика	4WD	серый	280000	правый	1 поколение
5	2017	1850000	бензин	2.5	171	вариатор	4WD	зеленый	118500	левый	3 поколение
6	2010	980000	дизель	2.0	150	АКПП	4WD	фиолетовый	330503	левый	2 поколение
7	2018	1890000	бензин	2.0	147	вариатор	4WD	черный	81000	правый	3 поколение, рестайлинг
8	2014	1490000	бензин	2.5	169	вариатор	4WD	черный	118000	левый	2 поколение, рестайлинг
9	2015	1650000	бензин	2.0	147	вариатор	4WD	белый	225000	правый	3 поколение
10	2017	1780000	бензин	2.0	144	вариатор	4WD	зеленый	99000	левый	3 поколение, рестайлинг
11	2010	995000	бензин	2.5	169	вариатор	4WD	черный	178000	левый	2 поколение
12	2015	1620000	бензин	2.0	144	вариатор	4WD	серый	105000	левый	3 поколение
13	2014	1197000	бензин	2.5	169	вариатор	4WD	серый	119000	левый	2 поколение, рестайлинг
14	2017	1630000	бензин	2.0	144	вариатор	4WD	серебристый	137000	левый	3 поколение
15	2006	630000	бензин	2.5	165	АКПП	4WD	красный	234000	левый	1 поколение, рестайлинг
16	2011	1250000	бензин	2.0	137	вариатор	4WD	серебристый	147000	правый	2 поколение, рестайлинг
17	2021	2900000	дизель	1.6	130	механика	4WD	синий	1600	левый	3 поколение, рестайлинг
18	2007	750000	бензин	2.0	141	вариатор	4WD	золотистый	180000	левый	2 поколение
19	2019	2270000	бензин	2.0	144	вариатор	4WD	синий	80300	левый	3 поколение, рестайлинг
20	2015	1350000	бензин	2.0	144	вариатор	передний	серебристый	138000	левый	3 поколение
21	2006	680000	бензин	2.0	140	АКПП	4WD	серый	352447	левый	1 поколение, рестайлинг
22	2011	1077000	бензин	2.5	169	вариатор	4WD	серый	164000	левый	2 поколение
23	2017	1400000	бензин	2.0	144	вариатор	4WD	черный	200000	левый	3 поколение
24	2001	365000	бензин	2.0	150	механика	4WD	серый	280000	правый	1 поколение
25	2017	1850000	бензин	2.5	171	вариатор	4WD	зеленый	118500	левый	3 поколение
26	2010	980000	дизель	2.0	150	АКПП	4WD	фиолетовый	330503	левый	2 поколение
27	2018	1890000	бензин	2.0	147	вариатор	4WD	черный	81000	правый	3 поколение, рестайлинг
28	2014	1490000	бензин	2.5	169	вариатор	4WD	черный	118000	левый	2 поколение, рестайлинг
29	2015	1650000	бензин	2.0	147	вариатор	4WD	белый	225000	правый	3 поколение
30	2017	1780000	бензин	2.0	144	вариатор	4WD	зеленый	99000	левый	3 поколение, рестайлинг
31	2010	995000	бензин	2.5	169	вариатор	4WD	черный	178000	левый	2 поколение
32	2015	1620000	бензин	2.0	144	вариатор	4WD	серый	105000	левый	3 поколение
33	2014	1197000	бензин	2.5	169	вариатор	4WD	серый	119000	левый	2 поколение, рестайлинг
34	2017	1630000	бензин	2.0	144	вариатор	4WD	серебристый	137000	левый	3 поколение
35	2006	630000	бензин	2.5	165	АКПП	4WD	красный	234000	левый	1 поколение, рестайлинг
36	2011	1250000	бензин	2.0	137	вариатор	4WD	серебристый	147000	правый	2 поколение, рестайлинг
37	2021	2900000	дизель	1.6	130	механика	4WD	синий	1600	левый	3 поколение, рестайлинг
38	2007	750000	бензин	2.0	141	вариатор	4WD	золотистый	180000	левый	2 поколение
39	2019	2270000	бензин	2.0	144	вариатор	4WD	синий	80300	левый	3 поколение, рестайлинг
40	2015	1350000	бензин	2.0	144	вариатор	передний	серебристый	138000	левый	3 поколение
41	2007	889000	бензин	2.5	169	вариатор	4WD	черный	327000	левый	2 поколение
42	2017	1780000	бензин	2.0	147	вариатор	4WD	черный	127000	правый	3 поколение, рестайлинг
43	2008	865000	бензин	2.5	169	вариатор	4WD	черный	308000	левый	2 поколение
44	2009	935000	дизель	2.0	150	АКПП	4WD	черный	333000	левый	2 поколение
45	2008	920000	бензин	2.0	141	вариатор	4WD	коричневый	235520	левый	2 поколение
46	2011	1250000	бензин	2.0	141	механика	4WD	золотистый	112532	левый	2 поколение, рестайлинг
47	2010	1000000	бензин	2.0	141	вариатор	4WD	черный	175000	левый	2 поколение
48	2008	900000	бензин	2.0	137	вариатор	4WD	серый	271000	правый	2 поколение
49	2011	1150000	бензин	2.0	141	вариатор	4WD	серый	124000	левый	2 поколение, рестайлинг
50	2008	820000	бензин	2.0	141	вариатор	4WD	черный	250000	левый	2 поколение
51	2008	940000	бензин	2.5	169	вариатор	4WD	серый	191777	левый	2 поколение
52	2016	1665000	бензин	2.0	147	вариатор	4WD	синий	84000	правый	3 поколение
53	2018	1950000	бензин	2.0	144	вариатор	4WD	серый	108000	левый	3 поколение
54	2019	2170000	бензин	2.0	144	вариатор	4WD	белый	77000	левый	3 поколение, рестайлинг
55	2015	1555000	бензин	2.0	147	вариатор	4WD	белый	103000	правый	3 поколение
56	2011	899000	дизель	2.0	150	АКПП	4WD	серый	268000	левый	2 поколение, рестайлинг
57	2003	450000	бензин	2.0	150	АКПП	4WD	красный	315000	правый	1 поколение, рестайлинг
58	2010	945000	бензин	2.0	141	вариатор	4WD	бордовый	180126	левый	2 поколение
59	2001	499000	бензин	2.0	150	АКПП	передний	серый	265000	правый	1 поколение
60	2021	2790000	бензин	2.0	144	вариатор	4WD	синий	22900	левый	3 поколение, рестайлинг
61	2012	1177000	бензин	2.5	169	вариатор	4WD	черный	203000	левый	2 поколение, рестайлинг
62	2007	420000	бензин	2.5	169	вариатор	4WD	серый	185000	левый	2 поколение
63	2007	950000	бензин	2.0	141	вариатор	4WD	черный	200000	левый	2 поколение
64	2015	1350000	бензин	2.0	144	вариатор	4WD	черный	279000	левый	3 поколение
65	2004	300000	бензин	2.0	140	АКПП	4WD	серый	200000	левый	1 поколение, рестайлинг
66	2019	2390000	бензин	2.0	144	вариатор	4WD	белый	36000	левый	3 поколение, рестайлинг
67	2011	1090000	бензин	2.5	169	вариатор	4WD	серый	161000	левый	2 поколение, рестайлинг
68	2006	600000	бензин	2.5	165	АКПП	4WD	черный	260000	левый	1 поколение, рестайлинг
69	2011	1100000	бензин	2.5	169	вариатор	4WD	черный	175000	левый	2 поколение, рестайлинг
